Timestamp,Em qual Estado você mora?,Em qual cidade você mora?,Qual o seu sexo?,Qual a sua faixa etária?,Qual o seu nível de formação?,"Se você fez pelo menos graduação, qual a sua área de formação?",Em que tipo de organização você trabalha?,A organização na qual você trabalha atua em que área?,Qual a sua principal ocupação/cargo?,Quantos anos de experiência você possui em Visualização de dados?,Em que proporção você trabalha com Visualização de Dados?,Você foi contratado para trabalhar somente com Visualização de Dados?,"Das funções abaixo, qual a melhor descreve você no seu trabalho?",Qual a sua faixa salarial mensal?,Como a sua organização usa Visualização de Dados? Escolha todas as opções que se aplicam,Que tipo de métodos/ferramentas você usa na sua organização para criar visualizações? Marque todas as que você utiliza.,Você tem poder de decisão para escolher as ferramentas de trabalho?,Que tecnologias você usa para visualizar dados?,Você é obrigado(a) a trabalhar com ferramentas ou tecnologias de que não gosta?,Que outras tecnologias você gostaria de usar para criar visualizações?,Como você apresenta suas visualizações? Selecione todas as opções que se aplicam.,Que tipos de gráficos você produziu nos últimos 6 meses?,Quem é o público que vê as suas visualizações?,Que nível de conhecimento em visualização o seu público possui?,Qual o objetivo do seu público com relação a suas visualizações?,Você aprendeu Visualização de Dados de modo formal na escola/universidade ou sozinho(a)?,Quais são as melhores formas para aprender visualização de dados?,Você participou de algum curso/workshop em visualização de dados nos últimos 12 meses?,Que outras habilidades/competências você considera importantes para atuar em Visualização de dados?,Você compartilha os seus conhecimentos de Visualização de Dados?,"Se você respondeu sim à pergunta acima, de que forma você compartilha seus conhecimentos?",Você participa de alguma sociedade ou grupo de estudos voltado para Visualização de dados?,"Se você respondeu sim à pergunta acima, qual(is)?"
10/3/2019 14:56:43,Santa Catarina (SC),Florinaópolis,Masculino,Entre 18 e 25 anos,Graduação,Engenharia de Computação,Setor Privado,Tecnologia,Cientista de Dados,2,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$2.000 e R$5.000,"Análise, Machine Learning","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"ggplot2, Plotly, Python, Matplotlib",Raramente,"ArcGis, D3, Illustrator, Vega","Notebook interativo, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de pontos","Público em geral, Analistas, Cientistas, Gerentes, Executivos",Básico,"Análise, Pesquisa",A maior parte em ambiente formal,"Livros, Tutoriais em vídeo, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas",Não,Não
10/3/2019 14:57:04,Bahia (BA),Salvador,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Ciência da Computação,Setor Público,Educação,Professor do Magistério Superior,8,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Excel, ggplot2, Illustrator, Java, Leaflet, Plotly, R, React, Tableau, Pen & Paper, Canvas",Algumas vezes,"ArcGis, Python, QGIS, WebGL","Embutida numa página Web interativa, Dashboard, Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Público em geral, Analistas, Cientistas, Médicos e outros profissionais de saúde","Básico, Intermediário","Análise, Pesquisa, Educação",A maior parte em ambiente formal,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,Grupos de Pesquisas formais e informais 
10/3/2019 15:01:57,Pernambuco (PE),Recife,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Ciência da Computação,Setor Público,Educação,Professor,9,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"D3, ggplot2, Leaflet, kepler.gl, Python, Tableau, WebGL",Nunca,"Angular, React, Canvas","Embutida numa página Web interativa, Dashboard, Apresentação","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Mapa de densidade","Público em geral, Analistas, Engenheiros, Cientistas, Gerentes, Executivos","Básico, Intermediário","Pesquisa, Educação",A maior parte em ambiente formal,"Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Ministro cursos (fora do meu ambiente de trabalho)",Sim,grupos de pesquisa
10/3/2019 15:02:01,São Paulo (SP),Campinas,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Ciência da Computação,Setor Público,Educação e Pesquisa,Professor,19,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Educação, Foco de pesquisa","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Highcharts, Java, Tableau",Raramente,"Cytoscape, Power BI, Processing, Qlik, R, WebGL","Dashboard, Apresentação, Documento","Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), heatmaps","Público em geral, Engenheiros, Cientistas","Intermediário, Avançado","Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Interação Humano-Computador",Sim,Ministro cursos como parte do meu trabalho,Não,N/A
10/3/2019 15:06:39,Piauí (PI),Picos,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Computação,Setor Público,Educação,Professor,9,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Machine Learning, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"ggplot2, Python, R, Matplotlib",Raramente,Nenhuma,"Notebook interativo, Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de Fluxo (sankey, etc)","Analistas, Engenheiros, Cientistas",Básico,"Pesquisa, Educação","Metade formalmente, metade autodidata","Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação",Não,,Não,Nenhuma
10/3/2019 15:15:35,Bahia (BA),Salvador,Masculino,Entre 18 e 25 anos,Pós-graduação: Mestrado,Sistemas de informação e gestão de tecnologia da informação,Setor Privado,Tecnologia,Desenvolvedor de SW,1 ano,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Desenvolvedor,Entre R$2.000 e R$5.000,Análise,"Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, ggplot2, Highcharts, Plotly, R, Matplotlib",Algumas vezes,"Illustrator, Power BI, Vue","Embutida numa página Web interativa, Documento, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), coordenadas paralelas","Público em geral, Gerentes, Executivos","Básico, Intermediário","Análise, Pesquisa",A maior parte de modo autodidata,"Livros, Artigos",Não,"Matemática, Programação, Design",Sim,Oriento colegas no trabalho,Sim,VisUFBA
10/3/2019 15:24:22,São Paulo (SP),São Carlos,Masculino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Matemática Aplicada,Setor Público,Ciência,Prof. Titular,10,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Java, Python, Vega, Matplotlib",Raramente,Tableau,"Embutida numa página Web interativa, Dashboard, Notebook interativo, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Público em geral, Analistas",Básico,"Jornalismo/Comunicação/Explicação, Análise","Metade formalmente, metade autodidata","Livros, Disciplina na educação formal, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design, Comunicação",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Sim,vgtc
10/3/2019 15:28:01,São Paulo (SP),Rosana,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Matemática Computacional,Setor Público,Educação,Professor universitário,9,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"ArcGis, Excel, ggplot2, Illustrator, Plotly, Python, Matplotlib, MATLAB",Algumas vezes,R,"Embutida numa página Web interativa, Notebook interativo, Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de redes/grafos (nós e arestas)","Público em geral, Engenheiros, Cientistas, Médicos e outros profissionais de saúde",Avançado,"Jornalismo/Comunicação/Explicação, Análise, Pesquisa, Educação","Metade formalmente, metade autodidata","Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,"Grupo próprio (UNESP-Rosana), VICG e VGPG (ICMC-USP). Sociedades: SBC, SBMAC, IEEE"
10/3/2019 15:28:36,Paraná (PR),Maringá,Masculino,Entre 18 e 25 anos,Pós-graduação: Mestrado,Estatística,Setor Privado,Estatística,Estatístico,6,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Nenhuma opção acima me descreve,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"ggplot2, R",Raramente,Nenhuma,"Dashboard, Notebook interativo, Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth)","Público em geral, Analistas, Engenheiros, Cientistas, Médicos e outros profissionais de saúde, Gerentes, Executivos","Básico, Intermediário","Análise, Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Programação, Estatística, a mais relevante na verdade",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Não,...
10/3/2019 15:29:14,São Paulo (SP),Araras,Masculino,Entre 25 e 35 anos,Pós-graduação: Especialização,Redes de computadores,Setor Público,Educação,Professor,2,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$2.000 e R$5.000,Educação,"Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, Excel, Tableau, Orange",Raramente,"Angular, Python, R, React","Embutida numa página Web interativa, Dashboard","Gráfico de dispersão (scatter plot), Diagrama de redes/grafos (nós e arestas)",Público em geral,Intermediário,Análise,A maior parte em ambiente formal,"Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Sim,SEIS - Software Engineering and Information Systems Laboratory - UNICAMP/FT
